Date,Interest Score (Moderna),Interest Score (Sinovac),Interest Score (AstraZeneca),Interest Score (Cansino),Interest Score (Pfizer)
25/10/2020,0,0.5,0.5,0,0.5
1/11/2020,0.5,0.5,0.5,0.5,0.5
8/11/2020,0.5,0,0.5,0.5,6
15/11/2020,2,0.5,0.5,0.5,3
22/11/2020,1,0.5,1,0.5,2
29/11/2020,1,0,0.5,0.5,4
6/12/2020,1,0.5,1,0.5,4
13/12/2020,1,1,0.5,0.5,4
20/12/2020,1,0.5,1,0.5,3
27/12/2020,0.5,0.5,1,0.5,3
3/1/2021,1,0.5,0.5,0.5,2
10/1/2021,0.5,2,0.5,0.5,4
17/1/2021,0.5,1,0.5,0.5,3
24/1/2021,1,1,0.5,0.5,2
31/1/2021,0.5,0.5,1,0.5,2
7/2/2021,0.5,0.5,0.5,0.5,2
14/2/2021,0.5,1,0.5,0.5,4
21/2/2021,1,4,1,0.5,10
28/2/2021,0.5,3,1,0.5,4
7/3/2021,1,1,3,0.5,2
14/3/2021,0.5,2,6,0.5,3
21/3/2021,0.5,1,1,0.5,2
28/3/2021,0.5,2,2,1,2
4/4/2021,0.5,2,4,0.5,2
11/4/2021,1,4,2,0.5,4
18/4/2021,1,3,1,0.5,5
25/4/2021,0.5,2,16,0.5,4
2/5/2021,1,6,39,0.5,6
9/5/2021,1,4,10,0.5,4
16/5/2021,1,14,26,0.5,8
23/5/2021,2,23,100,1,18
30/5/2021,1,14,14,1,9
6/6/2021,0.5,10,10,0.5,7
13/6/2021,1,15,12,2,10
20/6/2021,1,17,12,3,12
27/6/2021,1,17,13,0.5,10
4/7/2021,1,24,16,0.5,15
11/7/2021,2,36,11,0.5,23
18/7/2021,1,28,10,1,25
25/7/2021,1,21,9,1,24
1/8/2021,1,14,6,0.5,19
8/8/2021,2,16,12,1,19
15/8/2021,1,11,7,3,14
22/8/2021,1,8,5,2,14
29/8/2021,1,6,5,1,13
5/9/2021,1,5,3,1,10
12/9/2021,1,4,3,1,7
19/9/2021,0.5,4,5,0.5,9
26/9/2021,1,3,1,0.5,7
3/10/2021,1,3,1,0.5,5
10/10/2021,0.5,3,2,0.5,5
17/10/2021,1,2,2,1,7
